"filename", "language", "PostCSS", "HTML", "JavaScript", "JSON", "XML", "YAML", "comment", "blank", "total"
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/db/db_connection.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 6, 21
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/errorHandling/customError.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 2, 9
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/errorHandling/errorHandlers.js", "JavaScript", 0, 0, 25, 0, 0, 0, 3, 4, 32
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/index.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 4, 16
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/jest.config.js", "JavaScript", 0, 0, 7, 0, 0, 0, 1, 3, 11
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/middleware/tokenChecker.js", "JavaScript", 0, 0, 13, 0, 0, 0, 1, 4, 18
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/models/patterns.js", "JavaScript", 0, 0, 26, 0, 0, 0, 1, 3, 30
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/models/users.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 3, 27
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/mongodb_helper.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 3, 11
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/package-lock.json", "JSON", 0, 0, 0, 5313, 0, 0, 0, 1, 5314
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/package.json", "JSON", 0, 0, 0, 29, 0, 0, 0, 1, 30
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/routers/apiRouter.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 5, 14
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/routers/authRouter.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 3, 11
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/routers/patternsRouter.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 4, 12
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/routers/usersRouter.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 4, 15
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/tests/api/api.test.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 7, 21
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/tests/controllers/authentication.test.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 14, 94
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/tests/controllers/patterns.test.js", "JavaScript", 0, 0, 287, 0, 0, 0, 0, 52, 339
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/tests/controllers/users.test.js", "JavaScript", 0, 0, 267, 0, 0, 0, 0, 56, 323
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/tests/models/users.test.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 6, 26
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/utils/data_validation.js", "JavaScript", 0, 0, 63, 0, 0, 0, 1, 14, 78
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/utils/encryption_utils.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 3, 13
"/Users/clairecastanet/personal-projects/raglan-generator-be/api/utils/jwt_token_utils.js", "JavaScript", 0, 0, 26, 0, 0, 0, 1, 9, 36
"Total", "-", 204, 4257, 1404, 5361, 326, 27, 48, 735, 12362
